批次,发布日期,规则,规则分类,KP ID,药品名,拼音首字母,医保编码数,医保编码(全部),检测逻辑,逻辑依据,备注
第一批,2025-05-23,药品区分性别使用,医疗-药品,31405,安胎益母丸,atymw,1,ZD03AAA0119010105069,与限定性别不符,调经，活血，安胎。用于气血两亏，月经不调，胎动不安。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,16,XG01AFA222D003010101770; XG01AFA222D003010102461; XG01AFA222D003010103687; XG01AFA222D003010104920; XG01AFA222D003010201770; XG01AFA222D003010202461; XG01AFA222D003010203687; XG01AFA222D003010204920; XG01AFA222D003010302461; XG01AFA222D003010304920; XG01AFA222D003010402461; XG01AFA222D003010404920; XG01AFA222D003010502461; XG01AFA222D003010504920; XG01AFA222D003010602461; XG01AFA222D003010604920,与限定性别不符,细菌性阴道病、滴虫性阴道炎。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31407,八宝坤顺丸,bbksw,5,ZD01AAB0005010100960; ZD01AAB0005010102561; ZD01AAB0005010102786; ZD01AAB0005010102973; ZD01AAB0005010105883,与限定性别不符,本品益气养血调经。用于气血两虚所致的月经不调、痛经，症见经期后错、经血量少、行经腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,6,ZD02BAB0480010105433; ZD02BAB0480010105445; ZD02BAB0480010205445; ZD02BAB0480010305445; ZD02BAB0480020105433; ZD02BAB0480030105433,与限定性别不符,本品用于霉菌性、细菌性、滴虫性阴道炎和宫颈糜烂。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31411,白带净胶囊,bdjjn,4,ZD02AAB0075010104512; ZD02AAB0075010105381; ZD02AAB0075010204512; ZD02AAB0075010205381,与限定性别不符,本品用于湿热蕴结型带下证，带下量多、色白或色黄如脓，呈泡沫或米泔样，及非特异性、滴虫性阴道炎及上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31412,白带净丸,bdjw,1,ZD02AAB0076010104850,与限定性别不符,本品健脾利湿，清热止带，用于湿热下注，白带量多。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31413,白带片,bdp,2,ZD02AAB0077010100716; ZD02AAB0077010102743,与限定性别不符,健脾燥湿。用于白浊带下，大便溏泻。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,48,ZD02AAB0078010100962; ZD02AAB0078010101352; ZD02AAB0078010102039; ZD02AAB0078010102303; ZD02AAB0078010102332; ZD02AAB0078010102374; ZD02AAB0078010102397; ZD02AAB0078010102410; ZD02AAB0078010102458; ZD02AAB0078010102533; ZD02AAB0078010102667; ZD02AAB0078010102816; ZD02AAB0078010102884; ZD02AAB0078010102901; ZD02AAB0078010102941; ZD02AAB0078010102950; ZD02AAB0078010102971; ZD02AAB0078010103052; ZD02AAB0078010103285; ZD02AAB0078010103893; ZD02AAB0078010104073; ZD02AAB0078010104082; ZD02AAB0078010104118; ZD02AAB0078010104366; ZD02AAB0078010104584; ZD02AAB0078010104617; ZD02AAB0078010104828; ZD02AAB0078010105288; ZD02AAB0078010105289; ZD02AAB0078010105856; ZD02AAB0078010105858; ZD02AAB0078010105880; ZD02AAB0078010105883; ZD02AAB0078010105885; ZD02AAB0078010105903; ZD02AAB0078010106014; ZD02AAB0078010202667; ZD02AAB0078010202816; ZD02AAB0078010205288; ZD02AAB0078010205880; ZD02AAB0078010205883; ZD02AAB0078010305883; ZD02AAB0078020100962; ZD02AAB0078020102397; ZD02AAB0078020102667; ZD02AAB0078020102971; ZD02AAB0078020104082; ZD02AAB0078020204082,与限定性别不符,清热，除湿，止带，用于湿热下注所致的带下病症见带下量多色黄有味。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31213,保妇康凝胶,bfknj,12,ZD02BAB0236010101985; ZD02BAB0236010105377; ZD02BAB0236010205377; ZD02BAB0236010305377; ZD02BAB0236010405377; ZD02BAB0236010505377; ZD02BAB0236010605377; ZD02BAB0236010705377; ZD02BAB0236010805377; ZD02BAB0236010905377; ZD02BAB0236011005377; ZD02BAB0236011105377,与限定性别不符,行气破瘀，生肌止痛。用于霉菌性阴道炎，老年性阴道炎，宫颈糜烂。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31415,保妇康泡沫剂,bfkpmj,1,ZD02BAB0237010105470,与限定性别不符,行气破瘀，生肌，止痛。用于霉菌性阴道炎、宫颈糜烂。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31214,保妇康栓,bfks,6,ZD02BAB0238010105763; ZD02BAB0238010205763; ZD02BAB0238010305763; ZD02BAB0238010405763; ZD02BAB0238010505763; ZD02BAB0238010605763,与限定性别不符,本品用于湿热瘀滞所致的带下病，症见带下量多、色黄、时有阴部瘙痒；霉菌性阴道炎见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31215,葆宫止血颗粒,bgzxkl,5,ZD01CAB0277010179304; ZD01CAB0277010279304; ZD01CAB0277010379304; ZD01CAB0277010479304; ZD01CAB0277010579304,与限定性别不符,固经止血，滋阴清热。用于冲任不固、阴虚血热所致月经过多、经期延长，症见月经量多或经期延长，经色深红、质稠，或有小血块，腰膝酸软，咽干口燥，潮热心烦，舌红少津，苔少或无苔，脉细数；功能性子宫出血及上环后子宫出血见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31216,比卡鲁胺胶囊,bklajn,3,XL02BBB085E001010102970; XL02BBB085E001010202970; XL02BBB085E001010302970,与限定性别不符,1）50mg每日:与促黄体生成素释放激素（LHRH）类似物或外科睾丸切除术联合应用于晚期前列腺癌的治疗。2）150mg每日:用于治疗局部晚期、无远处转移的前列腺癌患者，这些患者不适宜或不愿接受外科去势术或其他内科治疗。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31217,比卡鲁胺片,bklap,14,XL02BBB085A001010100662; XL02BBB085A001010100665; XL02BBB085A001010101359; XL02BBB085A001010101749; XL02BBB085A001010104641; XL02BBB085A001010178241; XL02BBB085A001010179179; XL02BBB085A001010182983; XL02BBB085A001010200662; XL02BBB085A001010200665; XL02BBB085A001010204641; XL02BBB085A001010279179; XL02BBB085A001010304641; XL02BBB085A001010404641,与限定性别不符,1）50mg每日：与促黄体生成素释放激素（LHRH）类似物或外科睾丸切除术联合应用于晚期前列腺癌的治疗。2）150mg每日：用于治疗局部晚期、无远处转移的前列腺癌患者，这些患者不适宜或不愿接受外科去势术或其他内科治疗。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31424,补肾斑龙片,bsblp,18,ZA09DBB0411010100931; ZA09DBB0411010101120; ZA09DBB0411010101216; ZA09DBB0411010103374; ZA09DBB0411010103418; ZA09DBB0411010105667; ZA09DBB0411010205667; ZA09DBB0411020103418; ZA09DBB0411020103525; ZA09DBB0411020203418; ZA09DBB0411020203525; ZA09DBB0411020303525; ZA09DBB0411020403525; ZA09DBB0411020503525; ZA09DBB0411030103418; ZA09DBB0411030103525; ZA09DBB0411030303418; ZA09DBB0411040103418,与限定性别不符,补肾壮阳，填精益髓。用于肾虚，阳痿，早泄，遗精，性欲减退等症。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31416,保胎灵,btl,21,ZD03AAB0254010101283; ZD03AAB0254010103422; ZD03AAB0254010103485; ZD03AAB0254010103503; ZD03AAB0254010103510; ZD03AAB0254010103731; ZD03AAB0254010104721; ZD03AAB0254010104961; ZD03AAB0254010105859; ZD03AAB0254010203422; ZD03AAB0254010203731; ZD03AAB0254010204721; ZD03AAB0254010205859; ZD03AAB0254010305859; ZD03AAB0254010405859; ZD03AAB0254020103371; ZD03AAB0254020203371; ZD03AAB0254030103485; ZD03AAB0254040103485; ZD03AAB0254040203485; ZD03AAB0254040303485,与限定性别不符,补肾，固冲，安胎。用于先兆流产，习惯性流产及因流产引起的不孕症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31417,保胎灵胶囊,btljn,8,ZD03AAB0255010102364; ZD03AAB0255010104540; ZD03AAB0255010105381; ZD03AAB0255010105859; ZD03AAB0255010202364; ZD03AAB0255010204540; ZD03AAB0255010205859; ZD03AAB0255010305859,与限定性别不符,补肾，固冲，安胎。用于先兆流产，习惯性流产及因流产引起的不孕症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31418,保胎灵片,btlp,9,ZD03AAB0256010104669; ZD03AAB0256010203574; ZD03AAB0256010303574; ZD03AAB0256010403574; ZD03AAB0256010503574; ZD03AAB0256010603574; ZD03AAB0256010703574; ZD03AAB0256020103574; ZD03AAB0256040103574,与限定性别不符,补肾，固冲，安胎。用于先兆流产、习惯性流产及因流产引起的不孕症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31419,保胎丸,btw,19,ZD03AAB0257010100960; ZD03AAB0257010102458; ZD03AAB0257010102561; ZD03AAB0257010102764; ZD03AAB0257010102786; ZD03AAB0257010102816; ZD03AAB0257010102826; ZD03AAB0257010103285; ZD03AAB0257010103830; ZD03AAB0257010103891; ZD03AAB0257010103893; ZD03AAB0257010103909; ZD03AAB0257010103969; ZD03AAB0257010104073; ZD03AAB0257010104082; ZD03AAB0257010104181; ZD03AAB0257010203830; ZD03AAB0257020102816; ZD03AAB0257020202816,与限定性别不符,补气养血，保产安胎。用于妊娠气虚，腰酸腿痛，胎动不安，屡经流产。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31420,保胎无忧胶囊,btwyjn,3,ZD03AAB0258010102425; ZD03AAB0258010202425; ZD03AAB0258020102425,与限定性别不符,安胎，养血。用于闪挫伤胎，习惯性小产，难产。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31421,保胎无忧片,btwyp,9,ZD03AAB0259010100361; ZD03AAB0259010101120; ZD03AAB0259010103594; ZD03AAB0259010104471; ZD03AAB0259010105708; ZD03AAB0259010202716; ZD03AAB0259010203594; ZD03AAB0259010205708; ZD03AAB0259010305708,与限定性别不符,安胎，养血。用于闪挫伤胎，习惯性小产，难产。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31422,保胎无忧散,btwys,2,ZD03AAB0260010103830; ZD03AAB0260010203830,与限定性别不符,安胎，养血。用于闪挫伤胎，习惯性小产，难产。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31408,八味痛经胶囊,bwtjjn,3,ZD01BAB0027010102281; ZD01BAB0027010105370; ZD01BAB0027010202281,与限定性别不符,活血调经，化瘀止痛。用于经行不畅，色紫成块，行经腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31409,八味痛经颗粒,bwtjkl,5,ZD01BAB0028010100124; ZD01BAB0028010200124; ZD01BAB0028010300124; ZD01BAB0028010400124; ZD01BAB0028010500124,与限定性别不符,活血调经，化瘀止痛。用于经行不畅，色紫成块，经行腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31410,八味痛经片,bwtjp,2,ZD01BAB0029010105014; ZD01BAB0029020105014,与限定性别不符,活血调经，化瘀止痛。用于经行不畅，色紫成块，行经腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31423,博性康药膜,bxkym,2,ZD02BAB0392010105563; ZD02BAB0392010205563,与限定性别不符,用于带下病（滴虫性阴道炎、霉菌性阴道炎、急、慢性宫颈炎）。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31300,补血生乳颗粒,bxsrkl,3,ZD01AAB0456010105015; ZD01AAB0456010205015; ZD01AAB0456010305015,与限定性别不符,益气补血，通络生乳。用于气血亏虚所致的产后缺乳病。症见：产后气血不足，乳汁少、甚或全无、乳汁清稀、乳房柔软等。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31425,补血调经片,bxtjp,9,ZD03AAB0457010100412; ZD03AAB0457010102877; ZD03AAB0457010202877; ZD03AAB0457010302877; ZD03AAB0457010402877; ZD03AAB0457010502877; ZD03AAB0457020102877; ZD03AAB0457020202877; ZD03AAB0457020302877,与限定性别不符,补血理气，调经。用于妇女贫血，面色痿黄，经少后错，白带量多，经痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31301,补血益母颗粒,bxymkl,3,ZD01AAB0458010105046; ZD01AAB0458010205046; ZD01AAB0458010305046,与限定性别不符,补益气血，祛瘀生新。用于气血两虚兼血瘀证产后腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31302,补血益母丸,bxymw,2,ZD01AAB0460010105046; ZD01AAB0460010205046,与限定性别不符,本品用于气血两虚兼血瘀证产后腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31443,潮安胶囊,cajn,1,ZD01BAC0357010103545,与限定性别不符,活血化瘀，消炎止痛。用于痛经，月经不调，盆腔炎等。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31444,潮安片,cap,4,ZD01BAC0358010104920; ZD01BAC0358010105843; ZD01BAC0358010204920; ZD01BAC0358010205843,与限定性别不符,活血化瘀，消炎止痛。用于痛经，月经不调，盆腔炎等。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31431,产妇安合剂,cfahj,13,ZD01BAC0314010100716; ZD01BAC0314010103228; ZD01BAC0314010104584; ZD01BAC0314010203228; ZD01BAC0314020100716; ZD01BAC0314020103228; ZD01BAC0314020104584; ZD01BAC0314030100716; ZD01BAC0314030104584; ZD01BAC0314040100716; ZD01BAC0314040104584; ZD01BAC0314050100716; ZD01BAC0314050104584,与限定性别不符,祛瘀生新。用于产后血瘀腹痛，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31432,产妇安胶囊,cfajn,9,ZD01BAC0315010102013; ZD01BAC0315010102059; ZD01BAC0315010104920; ZD01BAC0315010105381; ZD01BAC0315010202013; ZD01BAC0315010202059; ZD01BAC0315010204920; ZD01BAC0315010205381; ZD01BAC0315010305381,与限定性别不符,祛瘀生新。用于产后血瘀腹痛，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31434,产妇安口服液,cfakfy,5,ZD01BAC0317010100391; ZD01BAC0317010102204; ZD01BAC0317010200391; ZD01BAC0317020102204; ZD01BAC0317020202204,与限定性别不符,祛瘀生新。用于产后血瘀腹痛，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31433,产妇安颗粒,cfakl,28,ZD01BAC0316010100439; ZD01BAC0316010101427; ZD01BAC0316010101503; ZD01BAC0316010101994; ZD01BAC0316010102072; ZD01BAC0316010102120; ZD01BAC0316010102396; ZD01BAC0316010102877; ZD01BAC0316010103099; ZD01BAC0316010103104; ZD01BAC0316010105438; ZD01BAC0316010201427; ZD01BAC0316010201503; ZD01BAC0316010202072; ZD01BAC0316010202120; ZD01BAC0316010202396; ZD01BAC0316010202877; ZD01BAC0316010203104; ZD01BAC0316010205438; ZD01BAC0316010301503; ZD01BAC0316010302120; ZD01BAC0316010303104; ZD01BAC0316010305438; ZD01BAC0316010402120; ZD01BAC0316010502120; ZD01BAC0316010602120; ZD01BAC0316020102396; ZD01BAC0316020202396,与限定性别不符,祛瘀生新。用于产后血瘀腹痛，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31218,产复康颗粒,cfkkl,8,ZD03AAC0319010100519; ZD03AAC0319010103996; ZD03AAC0319010104557; ZD03AAC0319010200519; ZD03AAC0319010300519; ZD03AAC0319020100519; ZD03AAC0319020103996; ZD03AAC0319020104557,与限定性别不符,补气养血，祛瘀生新。用于气虚血瘀所致的产后恶露不绝，症见产后出血过多、淋漓不断、神疲乏力，腰腿痠软。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31435,产复欣颗粒,cfxkl,3,ZD01BAC0320010103422; ZD01BAC0320010203422; ZD01BAC0320010303422,与限定性别不符,益肾养血，补气滋阴，活血化瘀。用于产后子宫复旧不全引起的恶露不尽，产后出血，腰腹隐痛，气短多汗，大便难等症，并有助于产后体型恢复。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31436,产复欣丸,cfxw,4,ZD01BAC0321010101283; ZD01BAC0321010201283; ZD01BAC0321010301283; ZD01BAC0321010401283,与限定性别不符,益肾养血，补气滋阴，活血化瘀。用于产后子宫复旧不全引起的恶露不尽，产后出血，腰腹隐痛，气短多汗，大便难等症，并有助于产后体型恢复。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31437,产后补丸,chbw,2,ZD03AAC0322010100288; ZD03AAC0322020100288,与限定性别不符,活血祛瘀，散寒止痛。用于产后腰腹疼痛，头痛身酸。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31447,慈航胶囊,chjn,8,ZD01BAC0489010104920; ZD01BAC0489010105264; ZD01BAC0489010105377; ZD01BAC0489010204920; ZD01BAC0489010205264; ZD01BAC0489010205377; ZD01BAC0489010305264; ZD01BAC0489010305377,与限定性别不符,逐瘀生新。用于妇女经血不调，癥瘕痞块，产后血晕，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31438,产后康膏,chkg,4,ZD03AAC0323010103426; ZD03AAC0323010203426; ZD03AAC0323020101508; ZD03AAC0323030101508,与限定性别不符,益气养血，滋肾柔肝，安神敛汗，健脾和胃。用于产后、流产后贫血，恶露不净，头晕目眩，心悸汗多，失眠神疲，食欲不振。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31448,慈航片,chp,17,ZD01BAC0490010105063; ZD01BAC0490010105092; ZD01BAC0490010105156; ZD01BAC0490010105264; ZD01BAC0490010105311; ZD01BAC0490010105341; ZD01BAC0490010105379; ZD01BAC0490010205063; ZD01BAC0490010205092; ZD01BAC0490010205264; ZD01BAC0490010205311; ZD01BAC0490010305092; ZD01BAC0490010305264; ZD01BAC0490010305311; ZD01BAC0490020105063; ZD01BAC0490020105264; ZD01BAC0490030105264,与限定性别不符,本品逐瘀生新。用于妇女经血不调，癥瘕痞块，产后血晕，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31449,慈航丸,chw,2,ZD01BAC0491010103494; ZD01BAC0491010103830,与限定性别不符,逐瘀生新。用于妇女经血不调，癥瘕痞块，产后血晕，恶露不尽。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31439,产后益母丸,chymw,1,ZD03AAC0324010103109,与限定性别不符,本品用于产后恶露不尽，瘀血腹痛，亦可用于瘀血痛经。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31219,产后逐瘀胶囊,chzyjn,10,ZD01BAC0325010102058; ZD01BAC0325010104152; ZD01BAC0325010105325; ZD01BAC0325010202058; ZD01BAC0325010205325; ZD01BAC0325020102058; ZD01BAC0325020104152; ZD01BAC0325020204152; ZD01BAC0325020304152; ZD01BAC0325030105325,与限定性别不符,活血调经，祛瘀止痛。用于产后瘀血不净，少腹腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31440,产后逐瘀颗粒,chzykl,3,ZD01BAC0326010103972; ZD01BAC0326010203972; ZD01BAC0326010303972,与限定性别不符,活血调经，祛瘀止痛。用于产后瘀血不净，少妇腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31441,产后逐瘀片,chzyp,9,ZD01BAC0327010102347; ZD01BAC0327010104235; ZD01BAC0327010105149; ZD01BAC0327010105415; ZD01BAC0327010105549; ZD01BAC0327010202347; ZD01BAC0327010204235; ZD01BAC0327010302347; ZD01BAC0327020102453,与限定性别不符,活血调经，祛瘀止痛。用于产后瘀血不净，少妇腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31442,产灵丸,clw,3,ZD03AAC0328010100169; ZD03AAC0328010100171; ZD03AAC0328010100281,与限定性别不符,益气养血，散风止痛。用于产后气血虚弱，感受风寒引起的周身疼痛，头目眩晕，恶心呕吐，四肢浮肿。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31426,参芪益母颗粒,cqymkl,4,ZZ01AAC0149010105150; ZZ01AAC0149010205150; ZZ01AAC0149020105150; ZZ01AAC0149020205150,与限定性别不符,益气养血，通络下乳。本品用于妇女产后乳汁不下，乳少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31451,催乳颗粒,crkl,3,ZD01AAC0515010104288; ZD01AAC0515010204288; ZD01AAC0515010304288,与限定性别不符,益气养血，通络下乳。用于产后气血虚弱所致的缺乳、少乳。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31303,椿乳凝胶,crnj,2,ZD02BAC0484010105046; ZD02BAC0484010205046,与限定性别不符,清热燥湿，祛瘀生肌。本品用于慢性宫颈炎之宫颈糜烂、中医辨证属于湿热瘀阻所致者，症见带下量多、色黄或白，腰腹坠胀，口苦咽干，舌红苔黄腻，脉弦或滑。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31452,催乳丸,crw,2,ZD01AAC0516010100960; ZD01AAC0516010103567,与限定性别不符,助气补血，活络下乳。用于产后气血亏损，乳汁不通，乳汁稀少。,女
