批次,发布日期,规则,规则分类,KP ID,药品,拼音,码序号,医保编码
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,17,XA11CCA351E002010281812
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,18,XA11CCA351E002010301121
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,19,XA11CCA351E002010303013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,20,XA11CCA351E002010304586
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,21,XA11CCA351E002010307011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,22,XA11CCA351E002010380937
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,23,XA11CCA351E002010381812
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,24,XA11CCA351E002010401121
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,25,XA11CCA351E002010403013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,26,XA11CCA351E002010404586
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,27,XA11CCA351E002010407011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,28,XA11CCA351E002010481812
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,29,XA11CCA351E002010501121
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,30,XA11CCA351E002010503013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,31,XA11CCA351E002010504586
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,32,XA11CCA351E002010601121
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,33,XA11CCA351E002010603013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,34,XA11CCA351E002020101523
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,35,XA11CCA351E002020103013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,36,XA11CCA351E002020107011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,37,XA11CCA351E002020109981
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,38,XA11CCA351E002020179189
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,39,XA11CCA351E002020181812
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,40,XA11CCA351E002020203013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,41,XA11CCA351E002020207011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,42,XA11CCA351E002020209981
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,43,XA11CCA351E002020279189
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,44,XA11CCA351E002020281812
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,45,XA11CCA351E002020303013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,46,XA11CCA351E002020307011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,47,XA11CCA351E002020403013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,48,XA11CCA351E002020407011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,49,XA11CCA351E002020503013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,1,ZD03AAA0043010100166
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,2,ZD03AAA0043010100220
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,3,ZD03AAA0043010100716
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,4,ZD03AAA0043010100960
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,5,ZD03AAA0043010101084
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,6,ZD03AAA0043010101156
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,7,ZD03AAA0043010101174
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,8,ZD03AAA0043010101190
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,9,ZD03AAA0043010101343
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,10,ZD03AAA0043010101352
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,11,ZD03AAA0043010102430
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,12,ZD03AAA0043010102458
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,13,ZD03AAA0043010102591
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,14,ZD03AAA0043010102615
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,15,ZD03AAA0043010102625
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,16,ZD03AAA0043010102786
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,17,ZD03AAA0043010102816
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,18,ZD03AAA0043010102826
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,19,ZD03AAA0043010102891
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,20,ZD03AAA0043010102960
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,21,ZD03AAA0043010102986
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,22,ZD03AAA0043010103285
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,23,ZD03AAA0043010103409
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,24,ZD03AAA0043010103450
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,25,ZD03AAA0043010103494
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,26,ZD03AAA0043010103709
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,27,ZD03AAA0043010103747
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,28,ZD03AAA0043010103820
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,29,ZD03AAA0043010103830
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,30,ZD03AAA0043010103843
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,31,ZD03AAA0043010103860
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,32,ZD03AAA0043010103868
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,33,ZD03AAA0043010103879
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,34,ZD03AAA0043010103891
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,35,ZD03AAA0043010103893
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,36,ZD03AAA0043010103901
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,37,ZD03AAA0043010104082
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,38,ZD03AAA0043010104181
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,39,ZD03AAA0043010105856
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,40,ZD03AAA0043010105858
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,41,ZD03AAA0043010105878
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,42,ZD03AAA0043010105893
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,43,ZD03AAA0043010202615
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,44,ZD03AAA0043010202743
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,45,ZD03AAA0043010202891
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,46,ZD03AAA0043010202986
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,47,ZD03AAA0043010203891
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,48,ZD03AAA0043020100166
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,49,ZD03AAA0043020101190
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,50,ZD03AAA0043020101343
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,51,ZD03AAA0043020102615
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,52,ZD03AAA0043020102625
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,53,ZD03AAA0043020102661
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,54,ZD03AAA0043020102816
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,55,ZD03AAA0043020102891
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,56,ZD03AAA0043020102973
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,57,ZD03AAA0043020102986
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,58,ZD03AAA0043020103285
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,59,ZD03AAA0043020103450
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,60,ZD03AAA0043020103493
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,61,ZD03AAA0043020103868
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,62,ZD03AAA0043020103893
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,63,ZD03AAA0043020104181
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,64,ZD03AAA0043020105893
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,65,ZD03AAA0043020202661
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,66,ZD03AAA0043020203450
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,67,ZD03AAA0043020203493
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,68,ZD03AAA0043020203868
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,69,ZD03AAA0043020302661
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,70,ZD03AAA0043020303450
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,71,ZD03AAA0043020303493
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,72,ZD03AAA0043020402661
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,73,ZD03AAA0043030101174
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,74,ZD03AAA0043030102891
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,75,ZD03AAA0043030103493
第一批,2025-05-23,药品区分性别使用,医疗-药品,31406,氨酚帕马溴片,afpmxp,1,XN02BEA139A001010103094
第一批,2025-05-23,药品区分性别使用,医疗-药品,31406,氨酚帕马溴片,afpmxp,2,XN02BEA139A001010203094
第一批,2025-05-23,药品区分性别使用,医疗-药品,31406,氨酚帕马溴片,afpmxp,3,XN02BEA139A001010303094
第一批,2025-05-23,药品区分性别使用,医疗-药品,31406,氨酚帕马溴片,afpmxp,4,XN02BEA139A001010403094
第一批,2025-05-23,药品区分性别使用,医疗-药品,31210,安宫止血颗粒,agzxkl,1,ZD01CAA0063010104080
第一批,2025-05-23,药品区分性别使用,医疗-药品,31403,安宫止血丸,agzxw,1,ZD01BAA0141010101283
第一批,2025-05-23,药品区分性别使用,医疗-药品,31403,安宫止血丸,agzxw,2,ZD01BAA0141010201283
第一批,2025-05-23,药品区分性别使用,医疗-药品,31403,安宫止血丸,agzxw,3,ZD01BAA0141010301283
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,1,XL02BGA045A001010101003
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,2,XL02BGA045A001010101359
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,3,XL02BGA045A001010101749
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,4,XL02BGA045A001010104520
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,5,XL02BGA045A001010104641
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,6,XL02BGA045A001010178241
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,7,XL02BGA045A001010181659
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,8,XL02BGA045A001010201003
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,9,XL02BGA045A001010201749
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,10,XL02BGA045A001010204641
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,11,XL02BGA045A001010281659
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,12,XL02BGA045A001010301003
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,13,XL02BGA045A001010304641
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,14,XL02BGA045A001010381659
第一批,2025-05-23,药品区分性别使用,医疗-药品,31209,爱普列特片,apltp,1,XG04CBA088A001010101467
第一批,2025-05-23,药品区分性别使用,医疗-药品,31209,爱普列特片,apltp,2,XG04CBA088A001010201467
第一批,2025-05-23,药品区分性别使用,医疗-药品,31209,爱普列特片,apltp,3,XG04CBA088A001010301467
第一批,2025-05-23,药品区分性别使用,医疗-药品,31209,爱普列特片,apltp,4,XG04CBA088A001010401467
第一批,2025-05-23,药品区分性别使用,医疗-药品,31207,阿帕他胺片,aptap,1,XL02BBA326A001010102180
第一批,2025-05-23,药品区分性别使用,医疗-药品,31207,阿帕他胺片,aptap,2,XL02BBA326A001010178537
第一批,2025-05-23,药品区分性别使用,医疗-药品,31207,阿帕他胺片,aptap,3,XL02BBA326A001020278537
第一批,2025-05-23,药品区分性别使用,医疗-药品,31211,奥特康唑胶囊,atkzjn,1,XJ02ACA397E001010184811
第一批,2025-05-23,药品区分性别使用,医疗-药品,31211,奥特康唑胶囊,atkzjn,2,XJ02ACA397E001010284811
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,1,ZD03AAA0118010100281
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,2,ZD03AAA0118010100311
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,3,ZD03AAA0118010100428
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,4,ZD03AAA0118010100716
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,5,ZD03AAA0118010102826
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,6,ZD03AAA0118010104850
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,7,ZD03AAA0118010105152
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,8,ZD03AAA0118010105156
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,9,ZD03AAA0118010204850
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,10,ZD03AAA0118010205335
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,11,ZD03AAA0118010205350
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,12,ZD03AAA0118010305350
第一批,2025-05-23,药品区分性别使用,医疗-药品,31405,安胎益母丸,atymw,1,ZD03AAA0119010105069
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,1,XG01AFA222D003010101770
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,2,XG01AFA222D003010102461
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,3,XG01AFA222D003010103687
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,4,XG01AFA222D003010104920
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,5,XG01AFA222D003010201770
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,6,XG01AFA222D003010202461
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,7,XG01AFA222D003010203687
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,8,XG01AFA222D003010204920
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,9,XG01AFA222D003010302461
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,10,XG01AFA222D003010304920
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,11,XG01AFA222D003010402461
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,12,XG01AFA222D003010404920
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,13,XG01AFA222D003010502461
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,14,XG01AFA222D003010504920
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,15,XG01AFA222D003010602461
第一批,2025-05-23,药品区分性别使用,医疗-药品,31363,奥硝唑阴道栓,axzyds,16,XG01AFA222D003010604920
第一批,2025-05-23,药品区分性别使用,医疗-药品,31407,八宝坤顺丸,bbksw,1,ZD01AAB0005010100960
第一批,2025-05-23,药品区分性别使用,医疗-药品,31407,八宝坤顺丸,bbksw,2,ZD01AAB0005010102561
第一批,2025-05-23,药品区分性别使用,医疗-药品,31407,八宝坤顺丸,bbksw,3,ZD01AAB0005010102786
第一批,2025-05-23,药品区分性别使用,医疗-药品,31407,八宝坤顺丸,bbksw,4,ZD01AAB0005010102973
第一批,2025-05-23,药品区分性别使用,医疗-药品,31407,八宝坤顺丸,bbksw,5,ZD01AAB0005010105883
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,1,ZD02BAB0480010105433
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,2,ZD02BAB0480010105445
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,3,ZD02BAB0480010205445
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,4,ZD02BAB0480010305445
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,5,ZD02BAB0480020105433
第一批,2025-05-23,药品区分性别使用,医疗-药品,31212,百草妇炎清栓,bcfyqs,6,ZD02BAB0480030105433
第一批,2025-05-23,药品区分性别使用,医疗-药品,31411,白带净胶囊,bdjjn,1,ZD02AAB0075010104512
第一批,2025-05-23,药品区分性别使用,医疗-药品,31411,白带净胶囊,bdjjn,2,ZD02AAB0075010105381
第一批,2025-05-23,药品区分性别使用,医疗-药品,31411,白带净胶囊,bdjjn,3,ZD02AAB0075010204512
第一批,2025-05-23,药品区分性别使用,医疗-药品,31411,白带净胶囊,bdjjn,4,ZD02AAB0075010205381
第一批,2025-05-23,药品区分性别使用,医疗-药品,31412,白带净丸,bdjw,1,ZD02AAB0076010104850
第一批,2025-05-23,药品区分性别使用,医疗-药品,31413,白带片,bdp,1,ZD02AAB0077010100716
第一批,2025-05-23,药品区分性别使用,医疗-药品,31413,白带片,bdp,2,ZD02AAB0077010102743
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,1,ZD02AAB0078010100962
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,2,ZD02AAB0078010101352
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,3,ZD02AAB0078010102039
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,4,ZD02AAB0078010102303
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,5,ZD02AAB0078010102332
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,6,ZD02AAB0078010102374
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,7,ZD02AAB0078010102397
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,8,ZD02AAB0078010102410
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,9,ZD02AAB0078010102458
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,10,ZD02AAB0078010102533
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,11,ZD02AAB0078010102667
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,12,ZD02AAB0078010102816
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,13,ZD02AAB0078010102884
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,14,ZD02AAB0078010102901
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,15,ZD02AAB0078010102941
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,16,ZD02AAB0078010102950
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,17,ZD02AAB0078010102971
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,18,ZD02AAB0078010103052
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,19,ZD02AAB0078010103285
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,20,ZD02AAB0078010103893
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,21,ZD02AAB0078010104073
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,22,ZD02AAB0078010104082
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,23,ZD02AAB0078010104118
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,24,ZD02AAB0078010104366
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,25,ZD02AAB0078010104584
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,26,ZD02AAB0078010104617
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,27,ZD02AAB0078010104828
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,28,ZD02AAB0078010105288
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,29,ZD02AAB0078010105289
第一批,2025-05-23,药品区分性别使用,医疗-药品,31414,白带丸,bdw,30,ZD02AAB0078010105856
